instance_id,pred_x_interest,pred_prob_x_interest,MPD,total_cf,execution_time(s),AMPD,<=50K(%),>50K(%)
91,<=50K,0.9258699,0.25,20,1.26,0.25,75.0,25.0
95,<=50K,0.8928872999999999,0.09,32,1.27,0.09,96.88,3.12
125,<=50K,0.9272633,0.36,13,1.3,0.36,61.54,38.46
140,<=50K,0.9768186,0.17,20,1.32,0.17,100.0,0.0
169,<=50K,0.9591751000000001,0.35,16,1.33,0.35,56.25,43.75
174,<=50K,0.8971398000000002,0.1,22,1.33,0.1,90.91,9.09
189,<=50K,0.9215853,0.1,31,1.32,0.1,93.55,6.45
238,<=50K,0.9930157,0.1,21,1.33,0.1,95.24,4.76
447,<=50K,0.9957769000000001,0.08,15,1.37,0.08,100.0,0.0
568,<=50K,0.9964354,0.04,29,1.37,0.04,100.0,0.0
