instance_id,pred_x_interest,pred_prob_x_interest,MPD,total_cf,execution_time(s),AMPD,No(%),Yes(%)
17,Yes,0.48544558870280297,-0.13,10,45.23,0.13,30.0,70.0
53,Yes,0.505973009412975,0.06,12,45.37,0.06,91.67,8.33
62,Yes,0.445145581369251,0.08,20,46.36,0.08,100.0,0.0
79,Yes,0.8391764081849109,0.03,3,45.52,0.03,0.0,100.0
135,Yes,0.317035394691518,0.07,12,46.23,0.07,100.0,0.0
149,Yes,0.6531426674073609,0.06,2,47.13,0.06,0.0,100.0
216,Yes,0.6974312807927421,-0.1,13,47.56,0.1,0.0,100.0
241,Yes,0.9304794406736758,0.01,28,47.85,0.01,0.0,100.0
349,Yes,0.7821143824634891,-0.01,27,48.03,0.01,0.0,100.0
359,Yes,0.42748614425308895,0.09,12,48.4,0.09,100.0,0.0
