instance_id,pred_x_interest,pred_prob_x_interest,MPD,total_cf,execution_time(s),AMPD,No(%),Yes(%)
17,Yes,0.752,0.13,10,48.29,0.13,0.0,100.0
53,Yes,0.41000000000000003,0.11,12,50.73,0.11,100.0,0.0
62,Yes,0.5760000000000001,0.15,20,50.35,0.15,95.0,5.0
79,Yes,1.0,0.0,3,49.84,0.0,0.0,100.0
135,Yes,0.21799999999999997,0.01,12,50.19,0.01,100.0,0.0
149,Yes,1.0,0.0,2,50.56,0.0,0.0,100.0
216,Yes,0.868,0.21,13,51.68,0.21,15.38,92.31
241,Yes,1.0,0.0,28,50.32,0.0,0.0,100.0
349,Yes,0.996,0.0,27,51.06,0.0,0.0,100.0
359,Yes,0.61,0.11,12,51.23,0.11,50.0,66.67
