instance_id,pred_x_interest,pred_prob_x_interest,MPD,total_cf,execution_time(s),AMPD,no(%),yes(%)
75,no,0.392,-0.08,59,1.68,0.08,62.71,37.29
255,no,0.21200000000000008,0.1,33,1.71,0.1,0.0,100.0
505,no,0.91,0.65,27,1.7,0.65,7.41,92.59
565,no,0.258,0.14,102,1.71,0.14,0.0,100.0
573,no,0.08999999999999997,-0.05,54,1.71,0.05,0.0,100.0
587,no,0.18000000000000005,-0.0,63,1.71,0.0,0.0,100.0
1210,no,0.7020000000000001,0.42,54,1.77,0.42,9.26,90.74
1531,no,0.005999999999999894,-0.0,31,1.64,0.0,0.0,100.0
2409,no,0.010000000000000009,-0.01,54,1.62,0.01,0.0,100.0
2581,no,0.028000000000000025,0.02,153,1.66,0.02,0.0,100.0
