instance_id,pred_x_interest,pred_prob_x_interest,MPD,total_cf,execution_time(s),AMPD,<=50K(%),>50K(%)
91,<=50K,0.9181026748792359,0.222689413641043,2,24.44,0.222689413641043,50.0,50.0
95,<=50K,0.8901765158773901,0.213370197978867,3,24.83,0.213370197978867,66.67,33.33
125,<=50K,0.9268545855202199,0.43788482890903996,2,24.5,0.43788482890903996,50.0,50.0
140,<=50K,0.975564759571393,0.160766318258678,2,24.83,0.160766318258678,100.0,0.0
169,<=50K,0.9600203691375241,0.36892444056290397,2,24.59,0.36892444056290397,50.0,50.0
174,<=50K,0.901789121316632,0.43454276769767003,1,24.14,0.43454276769767003,0.0,100.0
189,<=50K,0.9206183558644341,0.45218715389409403,3,25.2,0.45218715389409403,33.33,66.67
238,<=50K,0.9917364726279029,0.0857342296076975,2,24.4,0.0857342296076975,100.0,0.0
447,<=50K,0.996044560829034,0.178159963401668,2,24.56,0.178159963401668,100.0,0.0
568,<=50K,0.995679748666783,0.0316780568856632,1,25.25,0.0316780568856632,100.0,0.0
