instance_id,pred_x_interest,pred_prob_x_interest,MPD,total_cf,execution_time(s),AMPD,no(%),yes(%)
75,no,0.6614226939078621,0.587747508070801,1,44.32,0.587747508070801,0,100
255,no,0.532912770374795,0.503626710068065,1,44.36,0.503626710068065,0,100
505,no,0.8012444265600291,0.7149952528135429,1,44.66,0.7149952528135429,0,100
565,no,0.145910756551478,0.08,1,44.76,0.08022788128783599,0,100
573,no,0.12473682895749216,0.08,1,44.61,0.07894474291001,0,100
587,no,0.38525279440472004,0.34,1,43.65,0.343982715558669,0,100
1210,no,0.46748581261870403,0.4,1,44.55,0.39703487747549104,0,100
1531,no,0.02007074964913902,0.01,1,44.13,0.0072340923275009406,0,100
2409,no,0.024973241163202986,0.01,2,44.64,0.00989242074488828,0,100
2581,no,0.005373465247790921,0.0,1,44.53,0.0011013008332371199,0,100
