instance_id,pred_x_interest,pred_prob_x_interest,MPD,total_cf,execution_time(s),AMPD,No(%),Yes(%)
39,No,0.8208566311448209,0.20281203371905698,1,3.12,0.20281203371905698,100,0
61,No,0.99999993912365,0.215112994980096,2,2.72,0.215112994980096,100,0
141,No,0.9661414031452841,0.17768824709907502,2,2.58,0.17768824709907502,100,0
158,No,1.0,0.41132361359307706,1,2.65,0.41132361359307706,100,0
281,No,0.999999995714948,0.0445837005396096,2,2.71,0.0445837005396096,100,0
368,No,0.999997334365897,0.21681479760864605,2,2.72,0.21681479760864605,100,0
390,No,0.99995427662082,0.6405310338742181,1,2.55,0.6405310338742181,0,100
462,No,0.9999978455884271,0.197611207011226,2,2.65,0.197611207011226,100,0
479,No,0.999999969881818,0.4235065195453429,1,3.08,0.4235065195453429,100,0
520,No,0.9999999684608532,0.206861384505883,2,2.56,0.206861384505883,100,0
