instance_id,pred_x_interest,pred_prob_x_interest,MPD,total_cf,execution_time(s),AMPD,No(%),Yes(%)
17,Yes,0.752,-0.036000000000000004,1,8.97,0.036000000000000004,0,100
53,Yes,0.41000000000000003,-0.23,1,9.19,0.228,0,100
62,Yes,0.5760000000000001,-0.20600000000000002,1,8.36,0.20600000000000002,0,100
79,Yes,1.0,0.0,3,8.1,0.0,0,100
135,Yes,0.21799999999999997,-0.28,4,8.18,0.284,50,50
149,Yes,1.0,0.048,1,8.59,0.048,0,100
216,Yes,0.868,-0.042,1,8.75,0.042,0,100
241,Yes,1.0,0.0,4,8.24,0.0,0,100
349,Yes,0.996,-0.004,1,8.55,0.004,0,100
359,Yes,0.61,-0.184,1,8.58,0.184,0,100
