"instance_id","pred_x_interest","pred_prob_x_interest","mean_prediction_difference","total_cf","execution_time(s)","<=50K",">50K","wapd"
" 91","<=50K","0.9258699","-0.41","20","55.58"," 55.00","45.00","-0.41"
" 95","<=50K","0.8928873","-0.17","28","55.19"," 82.14","17.86","-0.13"
"125","<=50K","0.9272633","-0.24"," 8","55.67"," 75.00","25.00","-0.21"
"140","<=50K","0.9768186","-0.14"," 8"," 1.02","100.00"," 0.00","-0.10"
"150","<=50K","0.7613516","-0.21","22"," 1.31"," 63.64","36.36","-0.19"
"157","<=50K","0.9392784","-0.22","25","57.66"," 72.00","28.00","-0.16"
"169","<=50K","0.9591751","-0.59"," 5","57.85"," 20.00","80.00","-0.59"
"174","<=50K","0.8971398","-0.12","11","56.48","100.00"," 0.00","-0.12"
"189","<=50K","0.9215853","-0.11","24","56.14"," 95.83"," 4.17","-0.10"
"202","<=50K","0.9275762","-0.37","16","56.52"," 62.50","37.50","-0.37"
