"instance_id","pred_x_interest","pred_prob_x_interest","mean_prediction_difference","total_cf","execution_time(s)","<=50K",">50K","wapd"
91,<=50K,0.926386329497108,-0.210281996721149,2,23.54,100,0,-0.21
95,<=50K,0.89017651587739,-0.407222039797,1,23.69,0,100,-0.41
125,<=50K,0.92685458552022,-0.0128643832249267,2,23.57,100,0,-0.01
140,<=50K,0.975564759571393,-0.0548050777470449,4,23.83,100,0,-0.04
150,<=50K,0.767438571157554,-0.295737370697489,5,23.62,60,40,-0.3
157,<=50K,0.939035422976722,-0.0054354525175544,1,24.35,100,0,-0.01
169,<=50K,0.960677296278432,-0.0535295749421488,1,23.57,100,0,-0.05
174,<=50K,0.901789121316632,-0.262524810018101,1,23.87,100,0,-0.26
189,<=50K,0.920618355864434,-0.0179800632032409,2,24.56,100,0,-0.01
202,<=50K,0.931145877206544,-0.0584493569326764,1,23.36,100,0,-0.06
