"instance_id","pred_x_interest","pred_prob_x_interest","mean_prediction_difference","total_cf","execution_time(s)","<=50K",">50K","wapd"
91,<=50K,0.936,-0.428,2,41.16,50,50,-0.43
95,<=50K,0.798,0.168,1,41.62,100,0,0.17
125,<=50K,0.988,-0.002,2,40.28,100,0,0
140,<=50K,0.996,-0.3565,4,40.29,75,25,-0.36
150,<=50K,0.858,-0.5192,5,40.7,20,80,-0.52
157,<=50K,0.98,0.002,1,41.67,100,0,0
169,<=50K,1,-0.012,1,41.13,100,0,-0.01
174,<=50K,0.894,0.064,1,42.22,100,0,0.06
189,<=50K,0.878,0.073,2,42.13,100,0,0.07
202,<=50K,0.988,-0.002,1,40.68,100,0,0
