"instance_id","pred_x_interest","pred_prob_x_interest","mean_prediction_difference","total_cf","execution_time(s)","<=50K",">50K","wapd"
91,<=50K,0.936,-0.302,1,40.83,100,0,-0.3
95,<=50K,0.798,0.168,1,40.63,100,0,0.17
125,<=50K,0.988,-0.004,1,40.91,100,0,0
140,<=50K,0.996,-0.082,1,40.48,100,0,-0.08
150,<=50K,0.858,-0.084,1,40.78,100,0,-0.08
157,<=50K,0.98,0.002,1,41.2,100,0,0
169,<=50K,1,-0.012,1,40.37,100,0,-0.01
174,<=50K,0.894,0.064,1,41.45,100,0,0.06
189,<=50K,0.878,0.112,1,40.81,100,0,0.11
202,<=50K,0.988,-0.002,1,40.56,100,0,0
