"instance_id","pred_x_interest","pred_prob_x_interest","mean_prediction_difference","total_cf","execution_time(s)","No","Yes","wapd"
" 17","No","0.5145544","-0.13","10","44.43"," 30.00"," 70.00","-0.10"
" 53","Yes","0.5059730","-0.06","12","43.99"," 91.67","  8.33","-0.06"
" 62","No","0.5548544"," 0.08","20","44.15","100.00","  0.00"," 0.07"
" 79","Yes","0.8391764","-0.03"," 3","44.62","  0.00","100.00","-0.03"
"135","No","0.6829646"," 0.07","12","46.04","100.00","  0.00"," 0.05"
"149","Yes","0.6531427","-0.06"," 2","46.37","  0.00","100.00","-0.06"
"216","Yes","0.6974313"," 0.10","13","46.66","  0.00","100.00"," 0.08"
"241","Yes","0.9304794","-0.01","27","47.94","  0.00","100.00","-0.01"
"349","Yes","0.7821144"," 0.01","27","47.49","  0.00","100.00"," 0.00"
"359","No","0.5725139"," 0.09","12","48.31","100.00","  0.00"," 0.08"
