"instance_id","pred_x_interest","pred_prob_x_interest","mean_prediction_difference","total_cf","execution_time(s)","No","Yes","wapd"
" 17","Yes","0.752","-0.13","10","47.99","  0.00","100.00","-0.12"
" 53","No","0.590"," 0.11","12","47.09","100.00","  0.00"," 0.10"
" 62","Yes","0.576","-0.15","20","47.74"," 95.00","  5.00","-0.14"
" 79","Yes","1.000"," 0.00"," 3","48.09","  0.00","100.00"," 0.00"
"135","No","0.782"," 0.01","12","49.33","100.00","  0.00"," 0.02"
"149","Yes","1.000"," 0.00"," 2","49.49","  0.00","100.00"," 0.00"
"216","Yes","0.868","-0.21","13","49.69","  7.69"," 84.62","-0.21"
"241","Yes","1.000"," 0.00","27","51.58","  0.00","100.00"," 0.00"
"349","Yes","0.996"," 0.00","27","51.80","  0.00","100.00"," 0.00"
"359","Yes","0.610","-0.11","12","52.91"," 33.33"," 50.00","-0.11"
