"instance_id","pred_x_interest","pred_prob_x_interest","mean_prediction_difference","total_cf","execution_time(s)","No","Yes","wapd"
17,No,0.532193806950301,0.0896141784378043,1,6.01,100,0,0.09
53,Yes,0.51597972783583,-0.0508657139803474,1,6.01,100,0,-0.05
62,No,0.583703317446423,0.114323758968931,1,5.47,100,0,0.11
79,Yes,0.859320080819758,-0.0593259652566784,3,5.18,0,100,-0.06
135,No,0.688034852034542,0.066560395983485,4,5.07,100,0,0.07
149,Yes,0.66307771571474,-0.10733800175628,1,5.72,0,100,-0.11
216,Yes,0.709570035321565,-0.0300977837310014,1,5.62,0,100,-0.03
241,Yes,0.944022927070932,0.0154451549660272,4,5.08,0,100,0.02
349,Yes,0.814549672620197,0.00518694988955914,1,5.58,0,100,0.01
359,No,0.569724727885465,0.14931011109199,1,6.12,100,0,0.15
