"instance_id","pred_x_interest","pred_prob_x_interest","mean_prediction_difference","total_cf","execution_time(s)","No","Yes","wapd"
17,No,0.531246561157562,0.0820268289167909,1,4.31,100,0,0.08
53,Yes,0.522701953430061,0.0594905548578208,1,4.24,100,0,0.06
62,No,0.569968280631855,0.134162252504981,1,4.19,100,0,0.13
79,Yes,0.85821934674834,0.0459760315417638,1,4.25,0,100,0.05
135,No,0.685421717453636,0.0875800440175439,1,4.21,100,0,0.09
149,Yes,0.655356151378746,0.0979908202595707,1,4.18,0,100,0.1
216,Yes,0.70746289439708,0.0399658065734652,1,4.27,0,100,0.04
241,Yes,0.944193460236919,0.00766231693403752,1,4.21,0,100,0.01
349,Yes,0.797088364353197,0.0163403852468696,1,4.59,0,100,0.02
359,No,0.561761108496827,0.14743402994879,1,4.39,100,0,0.15
