"instance_id","pred_x_interest","pred_prob_x_interest","mean_prediction_difference","total_cf","execution_time(s)","no","yes","wapd"
"  75","no","0.6752234","-0.20"," 59","1.47","67.80"," 32.20","-0.14"
" 255","no","0.5425085","-0.32"," 33","1.47"," 3.03"," 96.97","-0.32"
" 505","no","0.7879395","-0.55"," 26","1.50"," 7.69"," 92.31","-0.55"
" 565","yes","0.8592667","-0.01","102","1.48"," 0.00","100.00","-0.01"
" 573","yes","0.8703683"," 0.01"," 53","1.49"," 0.00","100.00"," 0.00"
" 587","yes","0.5986235"," 0.15"," 63","1.48"," 0.00","100.00"," 0.10"
"1210","yes","0.5190282"," 0.25"," 54","1.51"," 1.85"," 98.15"," 0.24"
"1531","yes","0.9783761"," 0.01"," 31","1.49"," 0.00","100.00"," 0.01"
"2409","yes","0.9711676"," 0.00"," 54","1.50"," 0.00","100.00"," 0.00"
"2581","yes","0.9943598"," 0.00","153","1.48"," 0.00","100.00"," 0.00"
