"instance_id","pred_x_interest","pred_prob_x_interest","mean_prediction_difference","total_cf","execution_time(s)","no","yes","wapd"
"  75","yes","0.608","-0.08"," 59","1.64","62.71"," 37.29","-0.08"
" 255","yes","0.788"," 0.10"," 33","1.64"," 0.00","100.00"," 0.10"
" 505","no","0.910","-0.66"," 26","1.61"," 3.85"," 96.15","-0.66"
" 565","yes","0.742"," 0.14","102","1.60"," 0.00","100.00"," 0.13"
" 573","yes","0.910","-0.05"," 53","1.62"," 0.00","100.00","-0.04"
" 587","yes","0.820"," 0.00"," 63","1.60"," 0.00","100.00"," 0.00"
"1210","no","0.702","-0.42"," 54","1.60"," 9.26"," 90.74","-0.42"
"1531","yes","0.994"," 0.00"," 31","1.62"," 0.00","100.00"," 0.00"
"2409","yes","0.990","-0.01"," 54","1.59"," 0.00","100.00","-0.01"
"2581","yes","0.972"," 0.02","153","1.61"," 0.00","100.00"," 0.01"
