"instance_id","pred_x_interest","pred_prob_x_interest","mean_prediction_difference","total_cf","execution_time(s)","no","yes","wapd"
75,yes,0.608,0.39,1,51.63,0,100,0.39
255,yes,0.788,0.21,1,51.04,0,100,0.21
505,no,0.91,-0.9,1,51.73,0,100,-0.9
565,yes,0.742,0.258,1,51.82,0,100,0.26
573,yes,0.91,0.078,1,51.23,0,100,0.08
587,yes,0.82,0.18,1,50.67,0,100,0.18
1210,no,0.702,-0.33,1,51.4,0,100,-0.33
1531,yes,0.994,0.004,1,50.53,0,100,0
2409,yes,0.99,-0.006,2,50.41,0,100,-0.01
2581,yes,0.972,0.028,1,50.73,0,100,0.03
