"instance_id","pred_x_interest","pred_prob_x_interest","mean_prediction_difference","total_cf","execution_time(s)","no","yes","wapd"
75,yes,0.608,0.39,1,50.57,0,100,0.39
255,yes,0.788,0.21,1,55.88,0,100,0.21
505,no,0.91,-0.9,1,50.44,0,100,-0.9
565,yes,0.742,0.258,1,50.88,0,100,0.26
573,yes,0.91,0.078,1,51.07,0,100,0.08
587,yes,0.82,0.18,1,49.54,0,100,0.18
1210,no,0.702,-0.33,1,50.09,0,100,-0.33
1531,yes,0.994,0.004,1,49.77,0,100,0
2409,yes,0.99,0.002,1,49.84,0,100,0
2581,yes,0.972,0.028,1,49.86,0,100,0.03
