"instance_id","pred_x_interest","pred_prob_x_interest","mean_prediction_difference","total_cf","execution_time(s)","No","Yes","wapd"
39,"No",0.805538934124276,-0.22,27,29.83,66.67,33.33,-0.13
61,"No",0.999999946778907,-0.16,56,30.72,85.71,14.29,-0.12
141,"No",0.970413907427474,-0.25,11,30.73,72.73,27.27,-0.12
158,"No",1,-0.06,63,30.14,95.24,4.76,-0.03
281,"No",0.999999997475537,-0.25,40,30.47,75,25,-0.19
368,"No",0.99999774172543,-0.08,26,30.42,92.31,7.69,-0.02
390,"No",0.999953421914056,-0.17,62,32.13,82.26,17.74,-0.12
462,"No",0.999997598819358,-0.25,40,30.79,80,20,-0.11
479,"No",0.999999969059134,-0.14,46,31.81,86.96,13.04,-0.08
520,"No",0.999999968697373,-0.17,68,30.96,85.29,14.71,-0.1
