"instance_id","pred_x_interest","pred_prob_x_interest","mean_prediction_difference","total_cf","execution_time(s)","No","Yes","wapd"
39,No,0.820856631144821,-0.202812033719057,1,2.54,100,0,-0.2
61,No,0.99999993912365,-0.215112994980096,2,2.52,100,0,-0.22
141,No,0.966141403145284,-0.177688247099075,2,2.53,100,0,-0.09
158,No,1,-0.411323613593077,1,2.52,100,0,-0.41
281,No,0.999999995714948,-0.0445837005396096,2,2.46,100,0,-0.02
368,No,0.999997334365897,-0.216814797608646,2,2.53,100,0,-0.11
390,No,0.99995427662082,-0.640531033874218,1,2.52,0,100,-0.64
462,No,0.999997845588427,-0.197611207011226,2,2.48,100,0,-0.2
479,No,0.999999969881818,-0.423506519545343,1,2.7,100,0,-0.42
520,No,0.999999968460853,-0.206861384505883,2,2.53,100,0,-0.1
