"instance_id","pred_x_interest","pred_prob_x_interest","mean_prediction_difference","total_cf","execution_time(s)","No","Yes","wapd"
39,No,0.797234227048293,0.178213181478234,1,2.54,100,0,0.18
61,No,0.999999944290852,0.43896991291194,1,3.02,100,0,0.44
141,No,0.96663476504443,0.360391987450983,1,2.5,100,0,0.36
158,No,1,0.399902467201662,1,2.71,100,0,0.4
281,No,0.999999996556784,0.0865963654578759,1,2.47,100,0,0.09
368,No,0.999996962437962,0.439761439129214,1,2.67,100,0,0.44
390,No,0.999949070416431,0.643626766643389,1,2.71,0,100,0.64
462,No,0.999996889466629,0.412911357429516,1,2.47,100,0,0.41
479,No,0.999999962231766,0.4271609663377,1,2.39,100,0,0.43
520,No,0.999999971558722,0.396234179564812,1,2.43,100,0,0.4
