instance_id,pred_x_interest,pred_prob_x_interest,MPD,total_cf,execution_time(s),AMPD,<=50K(%),>50K(%)
91,<=50K,0.9359999999999999,0.302,1,45.46,0.302,100,0
95,<=50K,0.7979999999999999,0.46399999999999997,1,41.58,0.46399999999999997,0,100
125,<=50K,0.988,0.23800000000000002,1,43.54,0.23800000000000002,100,0
140,<=50K,0.996,0.08199999999999999,1,43.82,0.08199999999999999,100,0
169,<=50K,1.0,0.192,1,42.93,0.192,100,0
174,<=50K,0.894,0.374,1,42.13,0.374,100,0
189,<=50K,0.878,0.268,1,41.72,0.268,100,0
238,<=50K,1.0,0.034,1,42.49,0.034,100,0
447,<=50K,1.0,0.096,1,42.67,0.096,100,0
568,<=50K,1.0,0.006,1,41.73,0.006,100,0
