instance_id,pred_x_interest,pred_prob_x_interest,MPD,total_cf,execution_time(s),AMPD,no(%),yes(%)
75,no,0.392,0.39,1,50.83,0.39,0,100
255,no,0.21200000000000008,0.21,1,51.83,0.21,0,100
505,no,0.91,0.9,1,49.87,0.9,0,100
565,no,0.258,0.26,1,50.38,0.258,0,100
573,no,0.08999999999999997,0.08,1,50.37,0.078,0,100
587,no,0.18000000000000005,0.18,1,49.86,0.18,0,100
1210,no,0.7020000000000001,0.33,1,50.97,0.33,0,100
1531,no,0.005999999999999894,0.0,1,50.29,0.004,0,100
2409,no,0.010000000000000009,0.0,1,49.91,0.002,0,100
2581,no,0.028000000000000025,0.03,1,50.79,0.027999999999999997,0,100
