"instance_id","pred_x_interest","pred_prob_x_interest","mean_prediction_difference","total_cf","execution_time(s)","ampd","No","Yes"
" 39","No","0.8055389","0.22","27","32.39","0.22","66.67","33.33"
" 61","No","0.9999999","0.16","56","31.94","0.16","85.71","14.29"
"141","No","0.9704139","0.25","11","31.56","0.25","72.73","27.27"
"158","No","1.0000000","0.06","63","32.67","0.06","95.24"," 4.76"
"281","No","1.0000000","0.25","40","31.54","0.25","75.00","25.00"
"368","No","0.9999977","0.08","26","32.64","0.08","92.31"," 7.69"
"390","No","0.9999534","0.17","62","34.49","0.17","82.26","17.74"
"462","No","0.9999976","0.25","40","33.45","0.25","80.00","20.00"
"479","No","1.0000000","0.14","46","32.44","0.14","86.96","13.04"
"520","No","1.0000000","0.17","68","31.43","0.17","85.29","14.71"
