"instance_id","pred_x_interest","pred_prob_x_interest","mean_prediction_difference","total_cf","execution_time(s)","ampd","no","yes"
75,"yes",0.608,0.08,59,1.68,0.08,62.71,37.29
255,"yes",0.788,-0.1,33,1.71,0.1,0,100
505,"no",0.91,0.65,27,1.7,0.65,7.41,92.59
565,"yes",0.742,-0.14,102,1.71,0.14,0,100
573,"yes",0.91,0.05,54,1.71,0.05,0,100
587,"yes",0.82,0,63,1.71,0,0,100
1210,"no",0.702,0.42,54,1.77,0.42,9.26,90.74
1531,"yes",0.994,0,31,1.64,0,0,100
2409,"yes",0.99,0.01,54,1.62,0.01,0,100
2581,"yes",0.972,-0.02,153,1.66,0.02,0,100
