"instance_id","pred_x_interest","pred_prob_x_interest","mean_prediction_difference","total_cf","execution_time(s)","ampd","no","yes"
75,no,0.661422693907862,0.587747508070801,1,44.32,0.587747508070801,0,100
255,no,0.532912770374795,0.503626710068065,1,44.36,0.503626710068065,0,100
505,no,0.801244426560029,0.714995252813543,1,44.66,0.714995252813543,0,100
565,yes,0.854089243448522,-0.080227881287836,1,44.76,0.080227881287836,0,100
573,yes,0.875263171042508,-0.07894474291001,1,44.61,0.07894474291001,0,100
587,yes,0.61474720559528,-0.343982715558669,1,43.65,0.343982715558669,0,100
1210,yes,0.532514187381296,-0.397034877475491,1,44.55,0.397034877475491,0,100
1531,yes,0.979929250350861,-0.00723409232750094,1,44.13,0.00723409232750094,0,100
2409,yes,0.975026758836797,-0.00989242074488828,2,44.64,0.00989242074488828,0,100
2581,yes,0.994626534752209,-0.00110130083323712,1,44.53,0.00110130083323712,0,100
