"","instance","prediction_x_interest","mean_prediction_difference","total_cf","execution_time(s)","<=50K",">50K"
"1",91,0.0736136705028922,0.210281996721149,2,24.21,100,0
"2",95,0.10982348412261,0.407222039797,1,24.29,0,100
"3",125,0.0731454144797801,0.0128643832249267,2,24.09,100,0
"4",140,0.0244352404286068,0.0608581395627009,4,25.1,100,0
"5",150,0.232561428842446,0.295737370697489,5,24.34,60,40
"6",157,0.0609645770232778,0.0054354525175544,1,25.02,100,0
"7",169,0.0393227037215682,0.0535295749421488,1,23.69,100,0
"8",174,0.0982108786833684,0.262524810018101,1,23.98,100,0
"9",189,0.079381644135566,0.0199713604556043,2,24.29,100,0
"10",202,0.0688541227934564,0.0584493569326764,1,23.79,100,0
