"instance","prediction_x_interest","mean_prediction_difference","total_cf","execution_time(s)","No","Yes"
17,0.485445588702803,0.08,55,47.52,72.73,27.27
53,0.505973009412975,0.03,46,48.19,30.43,69.57
62,0.445145581369251,0.04,27,48.81,96.3,3.7
79,0.839176408184911,0.05,66,50.56,1.52,98.48
135,0.317035394691518,0.02,8,51.22,100,0
149,0.653142667407361,0.03,45,51.84,0,100
216,0.697431280792742,0.07,101,51.57,3.96,96.04
238,0.889024751610306,0.03,105,53.26,0,100
241,0.930479440673676,0.01,35,52.58,0,100
349,0.782114382463489,0.05,55,52.3,0,100
