"instance","prediction_x_interest","mean_prediction_difference","total_cf","execution_time(s)","No","Yes"
17,0.514554411297197,0.0727461977858295,1,5.88,100,0
53,0.48402027216417,0.0508657139803474,1,5.96,100,0
62,0.583703317446423,0.114323758968931,1,5.29,100,0
79,0.140679919180242,0.0593259652566785,3,5.19,0,100
135,0.688034852034542,0.066560395983485,4,5.05,100,0
149,0.33692228428526,0.10733800175628,1,5.57,0,100
216,0.290429964678435,0.0300977837310014,1,5.63,0,100
238,0.0881370289302594,0.0468174439773266,1,5.59,0,100
241,0.0595620658237721,0.00925575862631482,4,5.02,0,100
349,0.185450327379803,0.00518694988955917,1,5.44,0,100
