"instance","prediction_x_interest","mean_prediction_difference","total_cf","execution_time(s)","No","Yes"
17,0.496156286759456,0.123376573988714,1,4.23,100,0
53,0.477298046569939,0.0594905548578208,1,4.38,100,0
62,0.569968280631855,0.134162252504981,1,4.13,100,0
79,0.14178065325166,0.0459760315417638,1,4.15,0,100
135,0.685421717453636,0.0875800440175439,1,4.13,100,0
149,0.344643848621254,0.0979908202595707,1,4.13,0,100
216,0.29253710560292,0.0399658065734652,1,4.17,0,100
238,0.0957711240829161,0.0475993089408432,1,4.2,0,100
241,0.0604034955099293,0.00950426928091631,1,4.13,0,100
349,0.202911635646803,0.0163403852468697,1,4.17,0,100
