"","instance","prediction_x_interest","mean_prediction_difference","total_cf","execution_time(s)","No","Yes"
"1",39,0.805538934124276,0.3,27,30.51,66.67,33.33
"2",61,0.999999946778907,0.16,56,30.62,85.71,14.29
"3",141,0.970413907427474,0.25,11,30.04,72.73,27.27
"4",158,1,0.05,74,30.51,95.95,4.05
"5",281,0.999999997475537,0.24,42,30.67,76.19,23.81
"6",368,0.99999774172543,0.08,26,30.33,92.31,7.69
"7",390,0.999953421914056,0.17,64,31.27,82.81,17.19
"8",462,0.999997598819358,0.25,40,31,80,20
"9",479,0.999999969059134,0.12,53,30.83,88.68,11.32
"10",520,0.999999968697373,0.15,76,31.2,86.84,13.16
